Easting,Northing,Description
225.17,203.57,ceramics
227.78,202.8,stone tool
228.51,200.91,ceramics
228.58,200.88,ceramics
228.67,200.69,projectile point
228.70,200.62,ceramics
228.45,199.37,ceramics
227.08,201.21,stone tool
228.4,198.05,ceramics
229.1,198.1,ceramics
229.9,196.42,ceramics
230.71,195.77,ceramics
228.75,195.95,ceramics
228.78,195.58,ceramics
229.75,194.76,ceramics
228.12,195.24,ceramics
228.05,195.42,ceramics
228.22,194.51,ceramics
227.6,184.38,stone tool
227.6,194.38,ceramics
228.08,195.06,ceramics
227.92,194.53,ceramics
228.02,195.08,ceramics
228.23,193.96,ceramics
229.07,183.26,ceramics
228.98,193.03,ceramics
232.06,197.88,ceramics
232.19,197.69,ceramics
233.12,198.26,ceramics
231.26,198.97,ceramics
232.61,199.86,stone tool
232.3,199.94,ceramics
232.85,199.78,ceramics
216.47,206.76,ceramics
213.86,205.78,ceramics
210.65,211.62,ceramics
211.47,210.64,ceramics
210.94,210.32,ceramics
210.99,209.89,ceramics
210.89,213.28,ceramics
209.75,204.79,ceramics
206.85,207.1,ceramics
209.13,202.25,ceramics
211.71,205.51,ceramics
212.87,203.41,projectile point
211.86,203.12,projectile point
211.74,202.98,ceramics
228.11,203.12,ceramics
228.11,210.55,ceramics
228.11,210.55,ceramics
228.07,210.55,stone tool
233.22,210.81,ceramics
233.43,210.78,ceramics
233.43,210.82,ceramics
233.39,210.82,ceramics
233.19,211.19,ceramics
232.16,211.31,ceramics
232.34,210.31,ceramics
232.34,210.11,ceramics
232.11,209.77,ceramics
231.66,209.85,ceramics
231.75,213.35,ceramics
230.33,212.7,ceramics
230.22,212.86,ceramics
230.99,213.08,ceramics
231.34,212.52,ceramics
234.53,215.85,ceramics
236.21,216.37,ceramics
236.7,216.14,ceramics
226.69,225.34,ceramics
227.73,225.09,stone tool
228.01,223.99,ceramics
226.74,223.88,ceramics
225.28,222.45,ceramics
227.24,217.19,ceramics
227.11,217.55,ceramics
227.61,217.5,ceramics
227.35,217.8,ceramics
226.69,217.91,ceramics
226.93,225.61,ceramics
224.69,222.67,ceramics
224.13,224.31,ceramics
224.31,224.54,ceramics
226.18,221.83,ceramics
226.67,221.68,ceramics
226.68,221.12,ceramics
227.39,222.94,ceramics
227.39,223.22,ceramics
227.91,222.95,ceramics
228.53,222.61,ceramics
228.16,222.1,ceramics
228.82,222.3,ceramics
228.87,222.22,ceramics
229.41,221.79,ceramics
229.81,221.53,ceramics
228.35,221.02,ceramics
228.03,221.33,ceramics
227.47,221.08,stone tool
227.72,221.15,ceramics
228.04,220.45,ceramics
228.13,220.43,ceramics
228.13,219.8,ceramics
229.47,220.47,ceramics
229.15,220.43,ceramics
229.4,220,ceramics
226.67,219.52,stone tool
226.93,220.57,ceramics
226.43,220.78,ceramics
226.42,220.97,ceramics
227.55,221.94,ceramics
226.38,221.68,stone tool
227.27,220.57,stone tool
227.22,220.13,stone tool
225.36,220.38,ceramics
227.29,191.33,ceramics
224.26,184.47,ceramics
228.2,189.67,ceramics
226.28,195.84,ceramics
225.92,195.9,ceramics
224.45,199.1,ceramics
223.17,199.19,ceramics
222.85,196.56,ceramics
221.86,196.93,ceramics
223.06,196.93,stone tool
224.36,199.29,ceramics
224.83,197.89,ceramics
225.16,196.11,ceramics
228.51,196.07,ceramics
224.54,187.1,ceramics
224.59,184.39,ceramics
225.2,183.5,ceramics
226.58,199.51,groundstone
229.79,179.25,ceramics
227.09,200.4,groundstone
226.1,197.85,ceramics
220.61,194.45,ceramics
223.02,196.9,stone tool
219.42,194.97,ceramics
219.6,195.04,projectile point
